tt12343602,Kingmaker: The Change of Destiny,"2020??""Drama", Fantasy," History""",Sung-hee Ko
tt8243374,Gumbeobnamnyeo,"2018??""Crime", Drama," Thriller""",Young-woong Kim
tt12015636,Bon eogein,"2020??""Fantasy", Mystery," Romance""",In-gyeom Jeong
tt8696768,Haneuleseo Naerineun 1eok Gaeui Byeol,"2018??""Drama", Mystery," Romance""",Min-Si Go
tt9518312,The Haunted House: The Secret of the 'Ghost Ball',"2016??""Animation", Adventure," Comedy""",Caitlynne Medrek
tt9467164,Haechi,"2019??""Action", Drama," History""",Kyeong-yeong Lee
tt9772814,Kill It,"2019??""Drama", Mystery," Thriller""",Il-Joo Ji
tt8801670,Son: The Guest,"2018??""Drama", Horror," Mystery""",Won-jong Lee
tt11841276,Bangbeop,"2020??""Drama", Fantasy," Mystery""",Min-soo Jo
tt10405674,Watcheo,"2019??""Crime", Drama," Thriller""",Joo-hee Park
tt11133466,Ssaikopaeseu Daieori,"2019??""Comedy", Crime," Mystery""",Tae-Hwan Choi
tt12504214,Exemplary Detective,"2020??""Action", Mystery," Thriller""",Rae-Hyung Cha
tt12379076,Team Bulldog: Off-duty Investigation,"2020??""Action", Crime," Drama""",Kyung-ho Yoon
tt10584436,Miscasting,"2020??""Action", Comedy," Crime""",Jong-Hyuk Lee
tt8199972,Baekilui Nanggoonnim,"2018??""Comedy", History," Romance""",Han-chul Jo
tt11968312,Eoseowa,"2020??""Comedy", Fantasy," Romance""",Ye-Joo Yoon
tt10544464,Uisa Yohan,"2019??""Drama", Mystery," Romance""",Min-a Jeong
tt5247622, A-neun-hyung-nim,"2015??""Comedy", Game-Show," Reality-TV""",Ho-Dong Kang
tt2745682, Sungkyunkwan Scandal,"2010??""Comedy", Drama," History""",Joong-Ki Song
tt6966158,Larva,"2011??""Animation", Short," Comedy""",Beom-gi Hong
tt4775200, Woo-Ri Yup-Jip-Ae Exo-Ga San-Da,"2015??""Comedy", Drama," Romance""",Jong-dae Kim
tt9552278,Boksoonoteu,"2017??""Comedy", Fantasy," Mystery""",Ji-young Kim
tt2181460, Pasta,"2010??""Comedy", Drama," Romance""",Alex Chu
tt9861132,A-TEEN,"2018??""Comedy", Drama," Romance""",Dong-Hee Kim
tt10467640,Miseuteo Giganje,"2019??""Crime", Drama," Mystery""",Sae-Rok Keum
tt7525432,Tukabseu,"2017??""Comedy", Fantasy," Romance""",Eui-Sik Oh
tt2373743,Naege Geotjitmaleul Haebwa,"2011??""Comedy", Drama," Romance""",Jun Sung
tt3530644,Eunggeubnamnyeo,"2014??""Comedy", Drama," Romance""",Yeo-jin Choi
tt11534210,Deo Geim: 0shireul Hyanghayeo,"2020??""Crime", Drama," Fantasy""",Ji-il Park
tt10183478,Jeoldae Geui,"2019??""Comedy", Fantasy," Romance""",Seul-gi Park
tt12274220,Fix You,"2020??""Comedy", Drama," Romance""",In-ho Tae
tt1821771,Je-bbang-wang Kim-tak-goo,"2010??""Drama", Family," Romance""",Ja Hye Choi
tt3836378,Jo-seon chong-jab-i,"2014??""Action", History," Romance""",Jong-won Choi
tt2932820,Sangeo,"2013??""Drama", Romance," Thriller""",Lee Hanee
tt2375282,My Princess,"2011??""Comedy", Drama," Romance""",Soo-young Ryu
tt10712926,Yooryungeul Jabara,"2019??""Comedy", Drama," Mystery""",Do-Hoon Ki
tt5290026,Splash Splash Love,"2015??""Fantasy", History," Romance""",Ki-joo Jin
tt12504122,The Ballot,"2020??""Comedy", Drama," Romance""",Han Joon-Woo
tt10015794,Agmaga Neoui Ileum-eul Buleul Ttae,"2019??""Drama", Fantasy," Music""",El Lee
tt3580170,Shineui Sunmool: 14 il,"2014??""Fantasy", Mystery," Thriller""",Gyu-Woon Jung
tt8523030,Gyeryongsunnyeojeon,"2018??""Comedy", Fantasy," Romance""",Won-Ho Ji
tt11018750,VIP,"2019??""Drama", Mystery," Romance""",Sun-Young Kwak
tt10614024,Kkotpadang: Joseonhondamgongjakso,"2019??""Comedy", History," Romance""",Ji-Hoon Park
tt8912586,Peulleieo,"2018??""Comedy", Crime," Drama""",Won-hae Kim
tt11997412,Best Mistake,"2019??""Comedy", Drama," Romance""",Kang Yul
tt5536856,38 Task Force,"2016??""Comedy", Crime," Drama""",Dong-seok Ma
tt12531492,Elegant Friends,"2020??""Crime", Drama," Mystery""",Seong-oh Kim
tt0431504,All In,"2003??""Action", Drama," Romance""",Cesar Garcia
tt10449370,Neoui Noraereul Deulryeojweo,"2019??""Comedy", Drama," Music""",Tae-yeon Kim
tt4016396,Ingyeo Gongjoo,"2014??""Comedy", Drama," Fantasy""",Ji-Soo Park
tt6415220,Andante,"2017??""Comedy", Drama," Romance""",Mi-seon Jeon
tt5217254,Band of Brothers,"2008??""Comedy", Music," Reality-TV""",Jung-mo Kim
tt9143894,Jug-eodo Joh-a,"2018??""Comedy", Fantasy," Romance""",Sol-mi Park
tt12179496,Brilliant Heritage,"2020??""Comedy", Drama," Romance""",In-hwan Park
tt3250818,Choegoda Lee Soon-shin,"2013??""Comedy", Drama," Romance""",Mi-sook Lee
tt8269322,Seukechi,"2018??""Action", Drama," Fantasy""",Kyu-Sung Lee
tt3726584,Baegnyeon-ui Sinbu,"2014??""Drama", Fantasy," Romance""",Jung-Hee Nam
tt2693442,Giant,"2010??""Action", Drama," Romance""",Seo-hyeong Kim
tt3247300,2 Days 1 Night,"2007??""Adventure", Comedy," Family""",Ju-hyuk Kim
tt10513300,Jeoseutiseu,"2019??""Crime", Drama," Mystery""",Dal-hwan Jo
tt3385756,Gamjabyul 2013QR3,"2013??""Comedy", Fantasy," Romance""",Song-hyeon Choi
tt5476252,"Dalrae Doen, Jang-guk: Yisimnyeonmanui Jaehoe","2014??""Comedy", Drama," Romance""",Ro-Woon Choi
tt5828144,Rainbow Ruby,"2016??""Animation", Comedy," Family""",Kate Higgins
tt3180386,Bool-ui Yeosin Jungyi,"2013??""Drama", History," Romance""",Keon-hyeong Park
tt4135276,My Secret Hotel,"2014??""Comedy", Mystery," Romance""",Jung-woo Choi
tt11827694,Train,"2020??""Action", Drama," Fantasy""",So-yul Shin
tt3523560,Little Charmers,"2015??""Animation", Adventure," Comedy""",Matilda Gilbert
tt5679600,Choigoui Gyulhon,"2014??""Comedy", Drama," Romance""",Soo-bin Bae
tt4284134, Naeildo kantabille,"2014??""Comedy", Drama," Music""",Ji-won Ye
tt0477496,Damo,"2003??""Action", Comedy," Crime""",Gye-beom Ahn
tt12226766,Eccentric! Chef Moon,"2020??""Comedy", Drama," Romance""",Won-Hee Go
tt4135176,Samchongsa,"2014??""Action", Adventure," Drama""",Hae-In Jung
tt8970084,Nainrum,"2018??""Drama", Fantasy," Mystery""",Dae-hwan Oh
tt1807208,Domangja: Plan B,"2010??""Action", Comedy," Romance""",Rain
tt2090230,Nabbeun Namja,"2010??""Drama", Mystery," Romance""",Eun-kyung Shim
tt2458514,Maelineun oebagjung,"2010??""Comedy", Drama," Music""",Kim Hyo Jin
tt3469014,Miss Korea,"2013??""Comedy", Drama," Romance""",Yeon-joo Ha
tt2441808,White Christmas,"2011??""Crime", Drama," Mystery""",Soo-hyuk Lee
tt0487239,Kumiho woejeon,"2004??""Action", Crime," Drama""",Jin Jun
tt0885941,Kwaegeol Chun-hyang,"2005??""Comedy", Drama," Romance""",Si-eun Park
tt4284152,Miseuteo Baek,"2014??""Comedy", Fantasy," Romance""",Hwang Young Hee
tt3112622,Gam-gyeok-si-dae: Too-sin-eui tan-saeng,"2014??""Action", Crime," Drama""",Soo-hyang Im
tt3215056,Gumiho: Yeowoonuidyun,"2010??""Drama", Fantasy," Thriller""",Shin-ae Seo
tt3211128, Pereopyojeu Daejakjeon,"2012??""Comedy", Fantasy," Romance""",Ye-Won Kim
tt1113186,Hae-pi Too-ge-deo,"1999??""Comedy", Drama," Romance""",Seong-Yeon Kang
tt3184700,Hoo-ah-yu,"2013??""Fantasy", Horror," Mystery""",Jae-wook Kim
tt7920000,Jakeun Shinui Aideul,"2018??""Drama", Fantasy," Mystery""",Gwang Jang
tt3689488, Chulchulhan yeoja,"2013??""Comedy", Drama," Romance""",Min-Ji Park
tt1001475,Magi-Nation,"2007??""Animation", Action," Adventure""",Dan Petronijevic
tt2368922,Baempaieo Geomsa,"2011??""Fantasy", Mystery," Thriller""",Joo-Young Kim
tt7825618,Riteon,"2018??""Drama", Mystery," Thriller""",Myung-Bin Choi
tt11133556,Sarangeun Byutipul Insaengeun Wondeopul,"2019??""Comedy", Drama," Romance""",Yoon Bak
tt0499170,Buhwal,"2005??""Crime", Drama," Mystery""",Yoon-seok Kim
tt3964988,Vroomiz,"2012??""Animation", Adventure," Family""",Simon Shocket
tt2799100,The Accidental Couple (That Fool),"2009??""Comedy", Drama," Romance""",Ah-jung Kim
tt9626026,Super Zach,"2018??""Animation", Action," Adventure""",Brian Drummond
tt0430848,Paris ei yeonin,"2004??""Comedy", Drama," Romance""",Joo-eun Oh
tt2700064,Cheongdam-dong Alice,"2012??""Comedy", Drama," Romance""",Yi-hyeon So
tt3865702,Teuroteueui Yunin,"2014??""Comedy", Music," Romance""",Se-yeong Lee
tt0472440,Sangdooya hakgyo kaja!,"2003??""Comedy", Drama," Romance""",Dong-geon Lee
tt5478360,Ajikdo Gyeolhonhago Shipeun Yeoja,"2010??""Comedy", Drama," Romance""",Bit-na Wang
tt0469698,Bulmyeolui Lee Soon-shin,"2004??""Action", Biography," Drama""",So-yi Kim
tt3206006,Kangryukban,"2011??""Action", Crime," Drama""",Joo Ho
tt2146531,Joseon X-Files - Secret Book,"2010??""Drama", History," Mystery""",Kap-su Kim
tt0141816,Seoul ui dal,"1994??""Comedy", Crime," Drama""",Min-sik Choi
tt3211098,Gyeongseong Seukaendeul,"2007??""Comedy", Drama," Romance""",Go Eun Han
tt3186614," Gwishinboneun hyungsa, Cheo Yong","2014??""Crime", Fantasy," Mystery""",Seung-mok Yoo
tt2323034,TEN (Teuk-soo-sa-geon-jeon-dam-ban),"2011??""Crime", Drama," Thriller""",Woo-sik Choi
tt0866597,Geurin rojeu,"2005??""Drama", Mystery," Romance""",Seo-hyeong Kim
tt3543344,Poseidon,"2011??""Action", Drama," Romance""",Ran Choi
tt2269311,Soul,"2009??""Drama", Horror," Mystery""",Kap-su Kim
tt2742146,Dreamkix,"2010??""Animation", Comedy," Sport""",Kelly Metzger
tt3591956,Hoo-yoo-jeung,"2014??""Action", Drama," Thriller""",Geun-Hyeong Kim
tt5122716,Jjakpae,"2011??""Action", Drama," History""",Hyeon-jin Seo
tt0499281,Ro-mang-seu,"2002??""Comedy", Drama," Romance""",Seong-hwan Jeong
tt3116358,Kyeolhonui yeoshi,"2013??""Comedy", Drama," Romance""",Hae-hyo Kwon
tt1487657,Smile Again,"2006??""Drama", Romance," Sport""",Se-ah Yun
tt3580208,Mimi,"2014??""Horror", Mystery," Romance""",Ji-Soon Jung
tt2229372,Sonyeo K,"2011??""Action", Crime," Thriller""",Hyo-ju Park
tt2462572,Dokteo Chaempeu,"2010??""Drama", Romance," Sport""",Ma Dong Suk
tt0940631,Jin-jja Jin-jja Jong-a-hae,"2006??""Comedy", Drama," Romance""",Bool-am Choi
tt2937202,Ssain,"2011??""Crime", Mystery," Thriller""",Im Ho Gul
tt0805191, Dalkomhan seupai,"2005??""Action", Comedy," Crime""",Dennis Oh
tt3865684,Yoonaui Geori,"2014??""Comedy", Drama," Romance""",Hie-bong Jo
tt5917000,Bi Chun Mu: Dance with Sword,"2005??""Action", Drama," Fantasy""",Ya'nan Wang
tt3915552,Baem-pa-i-eo-eui Kko-t,"2014??""Drama", Fantasy," Romance""",Seung-Yub Lee
tt2928696,Ice Girl,"2005??""Comedy", Drama," Romance""",Hyuk-ho Kwon
tt5225638,Winners,"1998??""Crime", Drama," Mystery""",Seung-heon Song
tt3541250,Gwanggocheonjae Lee Tae Baek,"2013??""Comedy", Drama," Romance""",Eun-hee Bang
tt7087992,Dolaon Bok Dan Ji,"2017??""Drama", Mystery," Romance""",Na-hee Go
tt9090932,Nae Sarang Chiyugi,2018??Drama,Da-Hyun Kang,,
tt5173926,Michel,"2003??""Animation", Adventure," Fantasy""",Blake Shepard
tt3022190,Match Made in Heaven,"2004??""Comedy", Drama," Romance""",Sin-hye Hwang
tt5985540,18 vs. 29,"2005??""Comedy", Drama," Romance""",Yang-ja Jo
tt3507236,Vacation,"2006??""Comedy", Drama," Romance""",Yoo-chun Park
